index,epsilon,pvalue,gene,product
RB1,2.017903,0.002928312569056816,RB1,5.112120284926244
C11orf52_P1,1.9346571666666663,0.003303676580336631,C11orf52,4.799889219453414
PHOSPHO2-KLHL23,1.6103471666666669,0.003987530980887462,PHOSPHO2-KLHL23,3.8636994023811693
CYP3A7-CYP3AP1,1.4971238333333332,0.00424258314504072,CYP3A7-CYP3AP1,3.5517311261318536
ZC3H13,1.364551,0.0029556246914108834,ZC3H13,3.4514280461176603
METTL14,1.3271363333333337,0.0030671215131915447,METTL14,3.3354506289659285
GIMAP1-GIMAP5_001199577,1.3518705,0.003518744724292604,GIMAP1-GIMAP5,3.316966004273296
METTL3,1.2549543333333333,0.0029556246914108834,METTL3,3.1742196390340536
PLSCR3_P1,1.2542471666666666,0.004512344276009581,PLSCR3,2.9419593604457277
KIAA1429,1.1551209999999998,0.0029556246914108834,KIAA1429,2.9217061260879778
LY75-CD302,1.1096305,0.003746478459656975,LY75-CD302,2.6923816574213366
INS-IGF2_P1,1.3503671666666666,0.012190219626174005,INS-IGF2,2.58458718700466
TRIP12,1.010449666666667,0.0030671215131915447,TRIP12,2.539531841281627
EGFL8,1.0161605,0.003987530980887462,EGFL8,2.4380697515680727
RBM15,0.9584396666666668,0.002928312569056816,RBM15,2.428094344398425
NANOG,0.8946350000000001,0.004241006117836657,NANOG,2.122549361588824
AMBRA1,0.8209316666666667,0.003121133373779261,AMBRA1,2.056998357095841
NRARP,0.7588243333333333,0.0029556246914108834,NRARP,1.9193328693051432
ADAT3_P1,1.1871438333333333,0.03025674879224147,ADAT3,1.8034824863382652
ITGAX,0.823117,0.006820424487473771,ITGAX,1.7830266577641658
CNOT11,0.7629538333333332,0.004797552970436961,CNOT11,1.7692748493881465
CDKN1C,0.6952366666666668,0.0031931383107482955,CDKN1C,1.7351593458374452
AIDA,1.4391971666666667,0.06295391417314727,AIDA,1.728443073225172
PAWR,0.620681,0.0029556246914108834,PAWR,1.5699199305063392
UBR4,0.5984216666666666,0.003121133373779261,UBR4,1.4994577930975437
VKORC1,0.5972999999999999,0.003112098831225763,VKORC1,1.497399215845972
KAT6A,0.6451563333333333,0.0050419412855527476,KAT6A,1.4821835899174238
JUN,0.6112463333333333,0.0037690480159087787,JUN,1.4815195044437364
NTC_3283,0.8274938333333333,0.019464242980892645,NTC,1.415645404608317
SRSF11_P2,0.553081,0.0030329441759510307,SRSF11,1.392732946488502
TMED7-TICAM2_P1,0.7263505,0.012190219626174005,TMED7-TICAM2,1.390226482037857
GAP43,0.6494204999999998,0.008519037903021337,GAP43,1.344046803487559
DIAPH1,0.535431,0.003276102357056278,DIAPH1,1.330354638656691
TTC26,0.7044104999999999,0.013610850768526096,TTC26,1.3145108083684272
NTC_2426,0.8385038333333333,0.028511871121526988,NTC,1.2954668567878054
HHLA1_ENST00000414222.1,0.8875704999999999,0.03736587652997001,HHLA1,1.2670289232148515
CBLL1,0.5109083333333332,0.0033354730886913943,CBLL1,1.2654395037364223
C20orf144,1.0949871666666664,0.07175143029454603,C20orf144,1.252850850305271
TIMM44,0.7840484999999999,0.025470090784538862,TIMM44,1.249749401050115
PHF14,0.5073683333333333,0.0034857243043449715,PHF14,1.2469626868715789
ZBTB18,0.5073876666666668,0.00411592201058678,ZBTB18,1.2103899530842228
NTC_2981,1.0713605,0.07650866048156768,NTC,1.1959483714691683
EIF2AK3,0.4860033333333334,0.003721097593540047,EIF2AK3,1.1806619623849837
CNOT10,0.4700983333333333,0.003121133373779261,CNOT10,1.1779195986756832
UBE2F,0.5004949999999999,0.004523988586147005,UBE2F,1.173399766584149
MAP3K12,0.4787766666666667,0.0036279299653857663,MAP3K12,1.1683783799146001
WTAP,0.9083296666666666,0.052002871968168274,WTAP,1.1662704681450895
TP53,0.4565496666666667,0.002928312569056816,TP53,1.1566149671431096
GADD45G,0.4856263333333334,0.0043150086237042405,GADD45G,1.1485151808325218
IKBIP,0.4614216666666667,0.003409845353912835,IKBIP,1.1384496746967083
CASP3,0.507163,0.005751253070728459,CASP3,1.1361655822925454
HMG20A,0.4735776666666666,0.00502161508861774,HMG20A,1.0888292081811328
ING5,0.510633,0.007445670134949525,ING5,1.0866761510880438
VARS,0.7614100000000001,0.039437843258023436,VARS,1.0690857634293
UBE2H,0.427505,0.0034857243043449715,UBE2H,1.0506820162558452
NTC_109,0.6542905,0.025049708432457768,NTC,1.0476481982180206
OR2C3_ENST00000366487.3,0.6866203333333334,0.03094722355739027,OR2C3,1.0363698368279564
