index,epsilon,pvalue,gene,product
RB1,2.1544521666666663,0.0029283163685801905,RB1,5.458050349450583
ZC3H13,1.5052266666666667,0.003112104358221677,ZC3H13,3.773521742656592
METTL3,1.2439799999999999,0.0029556246914108834,METTL3,3.146461701181888
METTL14,1.2561188333333335,0.0031387568849336484,METTL14,3.1443698246131895
KIAA1429,1.1935533333333337,0.0029556246914108834,KIAA1429,3.018914975844719
RBM15,0.9918221666666666,0.0029283163685801905,RBM15,2.5126644290940017
NANOG,0.8827386666666667,0.0034857243043449715,NANOG,2.169512969720424
C12orf77,1.222103333333333,0.017820265652290692,C12orf77,2.1375636183467632
TRIP12,0.7992421666666666,0.00299698784333877,TRIP12,2.0167397627095545
WTAP,0.9854821666666664,0.009978377078769704,WTAP,1.9718907735651248
TAMM41,1.1341021666666666,0.029358388956061125,TAMM41,1.7377482092642402
AMBRA1,0.6838686666666666,0.003121133373779261,AMBRA1,1.7135612876459343
ZBTB18,0.6803733333333334,0.003447936617610441,ZBTB18,1.6753790050747157
CHD4,0.6958953333333333,0.004333498027753175,CHD4,1.6445129879150766
NRARP,0.6511666666666668,0.003112104358221677,NRARP,1.632439571510748
KAT6A,0.6708488333333332,0.003943637430381195,KAT6A,1.6127897061830805
CDKN1C,0.6431416666666667,0.003276102357056278,CDKN1C,1.5979771428314669
JUN,0.6477721666666665,0.003769052671548696,JUN,1.5700493149974788
DBNDD2_P2,0.8155399999999999,0.0126484415902964,DBNDD2,1.5478647290768728
TRIP13,0.75341,0.008918521459595841,TRIP13,1.5442698551081022
GPR75,0.7186433333333332,0.008111476867076882,GPR75,1.5026113931200682
PAWR,0.59865,0.003112104358221677,PAWR,1.5007831320474674
EIF2AK3,0.6094483333333334,0.003447936617610441,EIF2AK3,1.5007303965633234
DFFA,0.7705388333333332,0.011987259682481726,DFFA,1.4804209162494586
CNOT11,0.64355,0.005753706408651577,CNOT11,1.4415856592071132
UBE2H,0.570242,0.003121133373779261,UBE2H,1.4288483497169435
UBR4,0.5691053333333334,0.003191143013463421,UBR4,1.4205174912462932
EGFL8,0.6339666666666667,0.007438940353020326,EGFL8,1.3493910278946213
CYS1,0.5954133333333333,0.006108704950431063,CYS1,1.3182753971980852
