gene name,log2 fold change of elderly vs adult,ratio of cells express this gene in elderly,ratio of cells express this gene in adult,Wilcox's p-value,q-value,cell type
UBAC1,-0.614507824,0.221,0.283,1.7E-07,5.2E-03,inb-sv2c
SERPINE2,-0.603974265,0.207,0.271,1.6E-07,4.7E-03,inb-sv2c
CD63,-0.593082475,0.205,0.269,1.4E-07,4.3E-03,inb-sv2c
SPHKAP,0.647204238,0.276,0.246,1.4E-07,4.3E-03,inb-sst
PRKAG1,-0.505567963,0.213,0.278,1.4E-07,4.3E-03,inb-sv2c
PSMD13,-0.532824638,0.198,0.26,1.3E-07,3.9E-03,inb-sv2c
PTPRK,0.579694734,0.251,0.219,1.2E-07,3.6E-03,inb-sst
ENC1,-0.764303054,0.315,0.375,1.1E-07,3.1E-03,inb-sv2c
PAM16,-0.591445417,0.192,0.254,9.9E-08,2.9E-03,inb-sv2c
FAM219B,-0.558093439,0.197,0.26,9.4E-08,2.8E-03,inb-sv2c
SCOC,-0.53851296,0.392,0.453,9.0E-08,2.7E-03,inb-sv2c
CFAP161,0.529289762,0.266,0.233,8.4E-08,2.5E-03,L5/6-CC
MICOS10,-0.576654939,0.359,0.424,7.5E-08,2.2E-03,inb-sv2c
VAV3,0.693685617,0.296,0.24,7.2E-08,2.1E-03,inb-sv2c
PLCG2,-0.891278808,0.263,0.325,6.9E-08,2.1E-03,inb-sv2c
NDUFC1,-0.536781182,0.253,0.319,5.3E-08,1.6E-03,inb-sv2c
CLEC2L,-0.590943671,0.227,0.293,5.1E-08,1.5E-03,inb-sv2c
FLYWCH1,-0.576369452,0.251,0.319,4.7E-08,1.4E-03,inb-sv2c
ATOX1,-0.518034894,0.204,0.273,4.5E-08,1.3E-03,inb-sv2c
TMEM14A,-0.532439446,0.251,0.321,3.9E-08,1.2E-03,inb-sv2c
ESD,-0.623385897,0.258,0.327,3.9E-08,1.1E-03,inb-sv2c
CDK5RAP3,-0.615846203,0.254,0.321,3.8E-08,1.1E-03,inb-sv2c
PDCD6,-0.603214125,0.315,0.381,3.8E-08,1.1E-03,inb-sv2c
DIPK1B,-0.705656883,0.203,0.264,3.5E-08,1.1E-03,inb-sv2c
BID,-0.587551494,0.249,0.322,3.5E-08,1.0E-03,inb-sv2c
DEF8,-0.716718798,0.192,0.254,3.4E-08,1.0E-03,inb-sv2c
ADAM11,-0.565486115,0.224,0.29,2.9E-08,8.6E-04,inb-sv2c
ZNF883,-0.529133032,0.194,0.264,2.4E-08,7.1E-04,inb-sv2c
MRPL57,-0.591467118,0.236,0.303,2.4E-08,7.0E-04,inb-sv2c
FAM198B-AS1,-0.535139262,0.263,0.306,2.3E-08,6.8E-04,L5/6
TXN,-0.558959647,0.251,0.318,2.3E-08,6.8E-04,inb-sv2c
NDUFB6,-0.645730874,0.238,0.306,2.3E-08,6.8E-04,inb-sv2c
AC073091.3,0.746762907,0.288,0.256,2.2E-08,6.7E-04,L5/6-CC
CHGA,-0.559459001,0.295,0.36,2.2E-08,6.6E-04,inb-sv2c
RAB27A,0.61601015,0.274,0.238,2.1E-08,6.3E-04,L5/6-CC
TUBB4A,-0.58069703,0.257,0.324,1.9E-08,5.6E-04,inb-sv2c
MZT2A,-0.53206143,0.251,0.322,1.9E-08,5.5E-04,inb-sv2c
CBLB,0.524850226,0.341,0.271,1.6E-08,4.8E-04,inb-sv2c
DPYSL4,-0.561948451,0.212,0.28,1.6E-08,4.7E-04,inb-sv2c
VPS4A,-0.574984576,0.231,0.297,1.5E-08,4.5E-04,inb-sv2c
IKZF2,0.513675928,0.31,0.276,1.5E-08,4.4E-04,L5/6
PRXL2A,-0.52553989,0.453,0.511,1.5E-08,4.4E-04,inb-sv2c
HSPH1,-0.588571191,0.248,0.282,1.4E-08,4.2E-04,micro
VSTM2B,-0.565125649,0.245,0.311,1.3E-08,3.9E-04,inb-sv2c
APOD,0.546677139,0.272,0.24,1.3E-08,3.8E-04,endo
CHMP5,-0.577327731,0.22,0.288,1.1E-08,3.4E-04,inb-sv2c
CBX3,-0.580856546,0.254,0.324,1.1E-08,3.3E-04,inb-sv2c
CMAS,-0.699117976,0.234,0.303,1.1E-08,3.2E-04,inb-sv2c
MAP7D1,-0.533561109,0.274,0.344,8.4E-09,2.5E-04,inb-sv2c
HMGN2,-0.577130764,0.279,0.351,8.3E-09,2.5E-04,inb-sv2c
TMED4,-0.535708925,0.297,0.367,8.2E-09,2.4E-04,inb-sv2c
HAPLN4,-0.559657061,0.195,0.264,7.8E-09,2.3E-04,inb-sv2c
HSPD1,-0.522506126,0.36,0.43,7.0E-09,2.1E-04,inb-sv2c
CENPV,-0.57026822,0.194,0.261,7.0E-09,2.1E-04,inb-sv2c
ALDOC,-0.553699963,0.353,0.425,6.9E-09,2.0E-04,inb-sv2c
BX664727.3,0.596855445,0.26,0.223,6.4E-09,1.9E-04,L5/6-CC
RHOB,-0.812701029,0.199,0.265,6.1E-09,1.8E-04,inb-sv2c
DNMBP,0.535440783,0.258,0.22,5.9E-09,1.8E-04,L5/6-CC
MXRA7,-0.551066967,0.382,0.442,5.9E-09,1.8E-04,inb-sv2c
ZFYVE21,-0.715993232,0.192,0.259,5.8E-09,1.7E-04,inb-sv2c
EED,0.511034869,0.286,0.217,4.7E-09,1.4E-04,inb-sv2c
HMOX2,-0.743669683,0.235,0.303,4.7E-09,1.4E-04,inb-sv2c
PITPNC1,-0.704753977,0.462,0.501,4.7E-09,1.4E-04,endo
ADGRB2,-0.655501786,0.184,0.251,4.2E-09,1.3E-04,inb-sv2c
ZFHX4,0.509947165,0.265,0.197,4.2E-09,1.2E-04,inb-sv2c
YWHAQ,-0.502589302,0.43,0.491,3.3E-09,9.8E-05,inb-sv2c
RANBP2,0.548446424,0.271,0.24,3.0E-09,8.9E-05,micro
ISCA1,-0.54534594,0.249,0.324,2.9E-09,8.7E-05,inb-sv2c
PRKAG2,0.639313676,0.324,0.289,2.9E-09,8.6E-05,endo
NUDC,-0.558217432,0.281,0.354,2.9E-09,8.5E-05,inb-sv2c
B3GALNT1,-0.568766372,0.223,0.296,2.6E-09,7.6E-05,inb-sv2c
CREM,-0.510254585,0.346,0.382,2.5E-09,7.6E-05,endo
SUMF2,-0.521403795,0.31,0.387,2.4E-09,7.0E-05,inb-sv2c
DUSP26,-0.62163966,0.204,0.276,2.3E-09,6.9E-05,inb-sv2c
IDH2,-0.545902636,0.224,0.299,2.3E-09,6.8E-05,inb-sv2c
AL136456.1,0.744064461,0.305,0.238,2.2E-09,6.6E-05,inb-sv2c
RER1,-0.618212227,0.231,0.302,2.2E-09,6.4E-05,inb-sv2c
HERPUD1,-0.558296247,0.25,0.323,2.0E-09,6.0E-05,inb-sv2c
CENPT,-0.613470069,0.201,0.272,2.0E-09,6.0E-05,inb-sv2c
PPA1,-0.501490299,0.402,0.474,1.9E-09,5.8E-05,inb-sv2c
ATP5PB,-0.617364389,0.281,0.351,1.8E-09,5.4E-05,inb-sv2c
SPRYD3,-0.528154879,0.192,0.268,1.8E-09,5.3E-05,inb-sv2c
ELOC,-0.700756489,0.235,0.31,1.8E-09,5.2E-05,inb-sv2c
CDO1,-0.591298762,0.286,0.357,1.4E-09,4.3E-05,inb-sv2c
TMED2,-0.561498333,0.184,0.255,1.3E-09,4.0E-05,inb-sv2c
RFK,-0.671542724,0.203,0.276,1.2E-09,3.5E-05,inb-sv2c
DHPS,-0.582573464,0.183,0.254,1.0E-09,3.1E-05,inb-sv2c
FSIP2-AS1,0.593525752,0.311,0.273,1.0E-09,3.0E-05,L5/6-CC
CELF6,-0.571018376,0.266,0.343,8.5E-10,2.5E-05,inb-sv2c
TCIM,-0.619250192,0.19,0.267,8.2E-10,2.4E-05,inb-sv2c
DUBR,0.518124773,0.307,0.277,8.1E-10,2.4E-05,inb-sst
ADARB2-AS1,0.549633865,0.42,0.351,8.1E-10,2.4E-05,inb-sv2c
ABCA1,0.584723541,0.32,0.283,7.9E-10,2.3E-05,endo
ABCB8,-0.658358576,0.27,0.342,7.7E-10,2.3E-05,inb-sv2c
NEFL,-0.583605212,0.286,0.367,7.5E-10,2.2E-05,inb-sv2c
BAALC-AS1,0.567806842,0.321,0.285,7.5E-10,2.2E-05,L5/6-CC
H3F3A,-0.503214445,0.379,0.456,7.3E-10,2.2E-05,inb-sv2c
ARL2BP,-0.732911208,0.18,0.253,6.3E-10,1.9E-05,inb-sv2c
NAA20,-0.597387304,0.245,0.32,6.1E-10,1.8E-05,inb-sv2c
NDUFAF4,-0.579355338,0.18,0.254,5.7E-10,1.7E-05,inb-sv2c
NDUFB4,-0.647795707,0.233,0.311,5.7E-10,1.7E-05,inb-sv2c
RBIS,-0.632816332,0.196,0.272,5.5E-10,1.6E-05,inb-sv2c
SNX3,-0.542045855,0.374,0.446,5.3E-10,1.6E-05,inb-sv2c
MRPS26,-0.550189731,0.214,0.293,5.0E-10,1.5E-05,inb-sv2c
ZC3H12C,0.588740482,0.259,0.218,4.7E-10,1.4E-05,L5/6
TUBG2,-0.619900993,0.221,0.299,4.5E-10,1.3E-05,inb-sv2c
PDAP1,-0.716291072,0.193,0.267,4.3E-10,1.3E-05,inb-sv2c
FKBP4,-0.556560241,0.197,0.275,3.9E-10,1.2E-05,inb-sv2c
ARPC5L,-0.647256324,0.186,0.263,3.6E-10,1.1E-05,inb-sv2c
