gene name,log2 fold change of elderly vs adult,ratio of cells express this gene in elderly,ratio of cells express this gene in adult,Wilcox's p-value,q-value,cell type
CSPG5,-0.556104246,0.249,0.335,5.1E-28,1.5E-23,inb-pv
FAM153B,-0.539401031,0.307,0.388,5.0E-28,1.5E-23,inb-vip
NOXA1,-0.632823031,0.198,0.275,4.8E-28,1.4E-23,inb-vip
ISCU,-0.893378947,0.314,0.45,4.8E-28,1.4E-23,inb-sv2c
SEC61B,-0.505965141,0.251,0.352,4.7E-28,1.4E-23,L5/6-CC
POMP,-0.503501217,0.231,0.317,4.5E-28,1.3E-23,inb-vip
ARL8A,-0.535265765,0.308,0.412,4.5E-28,1.3E-23,L5/6
MRPL20,-0.534306156,0.203,0.292,4.3E-28,1.3E-23,inb-pv
CENPV,-0.552298512,0.253,0.353,4.2E-28,1.3E-23,L5/6-CC
BAHCC1,-0.582058206,0.209,0.304,4.2E-28,1.2E-23,L5/6-CC
LANCL1-AS1,0.740804518,0.309,0.23,4.1E-28,1.2E-23,inb-pv
FDFT1,-0.69617204,0.23,0.31,4.0E-28,1.2E-23,inb-vip
FEZF2,-0.688791362,0.244,0.343,3.9E-28,1.1E-23,L5/6
ACP1,-0.703192667,0.217,0.301,3.8E-28,1.1E-23,inb-pv
NACA,-0.544452374,0.477,0.572,3.6E-28,1.1E-23,L5/6
ASPHD2,-0.571728279,0.211,0.304,3.4E-28,1.0E-23,L5/6-CC
FMNL1,-0.760955849,0.18,0.271,3.4E-28,1.0E-23,L5/6
CCT4,-0.554606584,0.294,0.384,3.3E-28,9.8E-24,inb-pv
URM1,-0.610167954,0.188,0.28,3.1E-28,9.3E-24,L5/6-CC
AC093865.1,0.681941949,0.27,1.93E-01,2.94E-28,8.75E-24,opc
B4GAT1,-0.89208963,0.345,0.479,2.9E-28,8.7E-24,inb-sv2c
TMEM179,-0.557530384,0.21,0.291,2.7E-28,8.2E-24,inb-vip
AC016831.1,0.714128518,0.379,0.303,2.7E-28,7.9E-24,L5/6-CC
HDAC10,-0.614768207,0.18,0.273,2.4E-28,7.3E-24,L5/6
NUDT16L1,-0.509380038,0.162,0.251,2.4E-28,7.1E-24,L5/6-CC
SNX3,-0.543058741,0.393,0.47,2.2E-28,6.5E-24,inb-vip
MMP25-AS1,-0.702579298,0.185,0.279,2.1E-28,6.3E-24,L5/6
PPM1G,-0.511008138,0.256,0.349,2.1E-28,6.2E-24,inb-pv
SPATA5,0.618411765,0.495,0.427,2.0E-28,6.1E-24,L5/6-CC
TRPC3,-0.645885621,0.689,0.74,2.0E-28,6.0E-24,inb-sv2c
BTBD6,-0.721035482,0.171,0.26,2.0E-28,6.0E-24,L5/6-CC
CNTNAP3,0.697784931,0.413,0.336,2.0E-28,5.8E-24,L5/6-CC
COMMD7,-0.619227608,0.241,0.323,1.9E-28,5.8E-24,inb-vip
NCAN,-0.530966958,0.176,0.271,1.9E-28,5.5E-24,L5/6
RPAIN,-0.580047525,0.293,0.4,1.9E-28,5.5E-24,L5/6
HDAC10,-0.558188447,0.21,0.305,1.8E-28,5.4E-24,L5/6-CC
COPS8,-0.540133903,0.205,0.294,1.8E-28,5.3E-24,inb-pv
SNN,-0.672468849,0.274,0.374,1.6E-28,4.7E-24,L5/6
HID1,-0.598979619,0.2,0.284,1.6E-28,4.7E-24,inb-pv
ELOC,-0.664123605,0.188,0.268,1.6E-28,4.6E-24,inb-vip
ADCK5,-0.614386568,0.185,0.276,1.5E-28,4.6E-24,L5/6-CC
SCOC,-0.501816442,0.352,0.443,1.5E-28,4.5E-24,inb-pv
FAM160B2,-0.52667607,0.233,0.33,1.5E-28,4.4E-24,L5/6-CC
ARL8A,-0.541285155,0.25,0.332,1.4E-28,4.2E-24,inb-vip
MIR193BHG,-0.635542417,0.206,0.3,1.4E-28,4.2E-24,L5/6-CC
ASPHD2,-0.797812135,0.203,0.297,1.3E-28,4.0E-24,L5/6
AC092691.3,0.660686392,0.373,0.285,1.3E-28,3.9E-24,L5/6-CC
EML1,-0.509133192,0.325,0.41,1.3E-28,3.9E-24,endo
SNRPD2,-0.655737502,0.185,0.276,1.3E-28,3.9E-24,L5/6-CC
FAHD1,-0.691914907,0.167,0.255,1.2E-28,3.7E-24,L5/6-CC
PDK2,-0.739798499,0.174,0.255,1.2E-28,3.5E-24,inb-pv
NDUFAF8,-0.571477613,0.207,0.306,1.2E-28,3.5E-24,L5/6
YIPF2,-0.676076158,0.175,0.263,1.1E-28,3.4E-24,L5/6-CC
MPC2,-0.681881767,0.232,0.335,1.1E-28,3.2E-24,L5/6
ENTR1,-0.653961186,0.208,0.305,1.1E-28,3.2E-24,L5/6
COX4I1,-0.701242933,0.457,0.592,1.1E-28,3.2E-24,inb-sv2c
TMED4,-0.580269472,0.266,0.349,1.1E-28,3.2E-24,inb-vip
ZBTB16,0.576157983,4.56E-01,3.91E-01,1.07E-28,3.17E-24,opc
RPLP0,-0.625900598,0.188,0.273,1.1E-28,3.2E-24,inb-pv
CREG1,-0.595608626,0.258,0.339,1.0E-28,3.1E-24,inb-vip
MED8,-0.532081276,0.21,0.308,9.9E-29,2.9E-24,L5/6-CC
TIMM17A,-0.694378144,0.177,0.271,9.9E-29,2.9E-24,L5/6
GSS,-0.614815727,0.213,0.31,9.8E-29,2.9E-24,L5/6-CC
MRPS11,-0.692637806,0.192,0.289,9.7E-29,2.9E-24,L5/6
MTMR4,-0.598988923,0.257,0.339,9.7E-29,2.9E-24,inb-vip
GALT,-0.502148629,0.211,0.309,9.3E-29,2.8E-24,L5/6-CC
MRTO4,-0.577981069,0.184,0.278,8.7E-29,2.6E-24,L5/6-CC
ARL6IP5,-0.628491974,0.432,0.532,8.6E-29,2.5E-24,L5/6
CHST12,-0.51424838,0.19,0.269,8.5E-29,2.5E-24,endo
FAM149A,-0.527570779,0.174,0.268,8.4E-29,2.5E-24,L5/6-CC
A1BG-AS1,-0.591017379,0.189,0.281,8.4E-29,2.5E-24,L5/6-CC
RUSC1,-0.544096655,0.311,0.404,8.0E-29,2.4E-24,inb-pv
CHRM1,-0.657005934,0.212,0.306,7.6E-29,2.3E-24,L5/6-CC
KIF3B,-0.580427172,0.337,0.442,7.2E-29,2.2E-24,L5/6
COMT,-0.517262271,0.282,0.384,7.2E-29,2.1E-24,L5/6-CC
CSTB,-0.634012455,0.183,0.269,7.1E-29,2.1E-24,inb-pv
TMEM184B,-0.515633423,0.444,0.541,7.1E-29,2.1E-24,L5/6
MMP24OS,-0.501288054,0.329,0.434,7.0E-29,2.1E-24,L5/6-CC
FXYD7,-0.970920903,0.297,0.44,6.9E-29,2.1E-24,inb-sv2c
CCN2,-1.069497935,0.168,0.251,6.8E-29,2.0E-24,L5/6
GRM5-AS1,0.593564725,0.287,0.204,6.4E-29,1.9E-24,L5/6
AP003086.1,0.625507567,0.34,0.275,6.3E-29,1.9E-24,micro
TECR,-0.706048429,0.252,0.353,6.2E-29,1.8E-24,L5/6
RPLP1,-0.542563992,0.446,0.546,6.0E-29,1.8E-24,L5/6
WDR46,-0.658486341,0.173,0.268,5.7E-29,1.7E-24,L5/6
VPS29,-0.632473979,0.288,0.377,5.6E-29,1.7E-24,inb-pv
TMEM151B,-0.507735369,0.391,0.484,5.5E-29,1.6E-24,inb-pv
FAM229B,-0.509907815,0.226,0.327,5.5E-29,1.6E-24,L5/6-CC
C6orf136,-0.562907222,0.232,0.32,5.4E-29,1.6E-24,inb-pv
TMEM18,-0.603040956,0.209,0.306,5.3E-29,1.6E-24,L5/6-CC
RPL7L1,-0.537627534,0.254,0.34,5.2E-29,1.6E-24,inb-vip
RPL7,-0.614447377,0.285,0.388,5.1E-29,1.5E-24,L5/6
SUMF2,-0.541564289,0.238,0.323,4.9E-29,1.4E-24,inb-vip
SCG2,-0.84588599,0.237,0.336,4.7E-29,1.4E-24,L5/6
MRPL38,-0.69160208,0.159,0.251,4.6E-29,1.4E-24,L5/6
SH2D3C,-0.503826124,0.196,0.292,4.5E-29,1.3E-24,L5/6-CC
PIN1,-0.841675872,0.347,0.487,4.4E-29,1.3E-24,inb-sv2c
NDUFS8,-0.763781269,0.215,0.313,4.3E-29,1.3E-24,L5/6
AK1,-0.642975335,0.182,0.278,4.0E-29,1.2E-24,L5/6
YPEL3,-0.5177326,0.195,2.79E-01,3.91E-29,1.16E-24,opc
VDAC2,-0.966956904,0.255,0.399,3.8E-29,1.1E-24,inb-sv2c
PRELID1,-1.160277782,0.137,0.272,3.7E-29,1.1E-24,inb-sv2c
GPAA1,-1.008648024,0.164,0.302,3.4E-29,1.0E-24,inb-sv2c
TUBG2,-0.647134316,0.183,0.264,3.2E-29,9.4E-25,inb-vip
TNNI3K,0.624182566,0.459,0.378,3.0E-29,8.9E-25,L5/6-CC
GDE1,-0.530228599,0.221,0.321,3.0E-29,8.8E-25,L5/6-CC
EGLN2,-0.535477029,0.214,0.312,2.9E-29,8.6E-25,L5/6-CC
NLGN2,-0.701681798,0.242,0.342,2.8E-29,8.4E-25,L5/6
ATP5MC3,-0.846749764,0.287,0.438,2.8E-29,8.2E-25,inb-sv2c
DUS1L,-0.502745828,0.236,0.338,2.7E-29,8.0E-25,L5/6-CC
2-Mar,-0.665009866,0.19,0.285,2.7E-29,7.9E-25,L5/6
LSM10,-0.668269511,0.161,0.251,2.6E-29,7.8E-25,L5/6-CC
TMEM222,-0.5788714,0.193,0.275,2.6E-29,7.7E-25,inb-vip
RPLP0,-0.51527225,0.26,0.364,2.5E-29,7.4E-25,L5/6-CC
RPL22,-0.578527453,0.369,0.48,2.3E-29,6.9E-25,L5/6
UROS,-0.511885223,0.234,0.321,2.3E-29,6.9E-25,inb-vip
COPE,-0.503607393,0.211,0.291,2.2E-29,6.5E-25,endo
RPL7,-0.585650532,0.247,0.34,2.2E-29,6.5E-25,inb-pv
NEU4,-0.57257451,0.212,2.95E-01,2.11E-29,6.28E-25,opc
CWC15,-0.522034466,0.255,0.357,2.1E-29,6.3E-25,L5/6-CC
DOCK5,0.584396519,0.282,0.203,2.1E-29,6.2E-25,endo
ARPC2,-0.506481146,0.455,0.56,2.0E-29,6.1E-25,L5/6
AKAP5,-0.555507181,0.227,0.328,2.0E-29,5.9E-25,L5/6-CC
SYNGR3,-0.537325226,0.316,0.422,1.9E-29,5.8E-25,L5/6
H3F3B,-0.599736041,0.331,0.438,1.9E-29,5.7E-25,L5/6
RER1,-0.635555629,0.189,0.269,1.9E-29,5.7E-25,inb-vip
C6orf136,-0.564794341,0.245,0.346,1.8E-29,5.4E-25,L5/6-CC
TMEM9B,-0.672581713,0.184,0.268,1.8E-29,5.3E-25,inb-pv
CIAO2B,-0.608556346,0.218,0.32,1.8E-29,5.2E-25,L5/6
CHCHD10,-0.921302318,0.318,0.457,1.6E-29,4.7E-25,inb-sv2c
TUBB4A,-0.584183405,0.223,0.315,1.5E-29,4.5E-25,inb-pv
BUD23,-0.655171423,0.18,0.264,1.5E-29,4.3E-25,inb-pv
POU2F2,-0.581230147,0.267,0.374,1.4E-29,4.2E-25,L5/6
PET100,-0.904872557,0.186,0.28,1.4E-29,4.1E-25,L5/6
TTC7A,-0.599498619,0.337,0.44,1.4E-29,4.0E-25,L5/6
SPCS1,-0.975505713,0.291,0.434,1.3E-29,3.8E-25,inb-sv2c
COX5A,-1.082331864,0.254,0.4,1.2E-29,3.7E-25,inb-sv2c
POMGNT1,-0.612997764,0.264,0.372,1.2E-29,3.5E-25,L5/6
NDUFB5,-0.733791401,0.264,0.371,1.1E-29,3.3E-25,L5/6
PFDN2,-0.508253649,0.244,0.337,1.1E-29,3.2E-25,inb-pv
PHB,-0.626741444,0.181,0.275,1.0E-29,3.0E-25,L5/6-CC
PALMD,-0.542636054,0.216,0.253,9.6E-30,2.9E-25,L2/3
NDUFB7,-0.982427795,0.196,0.343,9.6E-30,2.9E-25,inb-sv2c
RCL1,0.527084082,0.313,0.261,9.5E-30,2.8E-25,L4
POT1-AS1,0.585442587,0.443,0.365,9.5E-30,2.8E-25,inb-pv
MXRA7,-0.594782132,0.231,0.314,9.0E-30,2.7E-25,inb-vip
DDOST,-0.57051565,0.218,0.315,8.9E-30,2.6E-25,L5/6-CC
HCN2,-0.66042476,0.254,0.342,8.9E-30,2.6E-25,inb-pv
DNAJC8,-0.616231691,0.227,0.318,8.3E-30,2.5E-25,inb-pv
NDUFB4,-0.601073704,0.207,0.292,8.0E-30,2.4E-25,inb-vip
CACYBP,-0.554892711,0.218,0.304,8.0E-30,2.4E-25,inb-vip
NECAB2,-0.630560555,0.272,0.355,7.9E-30,2.4E-25,inb-vip
PPP1R7,-0.658178659,0.207,0.295,7.8E-30,2.3E-25,inb-pv
RXRB,-0.608619587,0.18,0.276,7.7E-30,2.3E-25,L5/6
RHBDL3,0.56905524,0.375,0.289,7.6E-30,2.3E-25,L5/6
ATP5PD,-0.74592255,0.206,0.304,7.5E-30,2.2E-25,L5/6
TMEM223,-0.687619377,0.201,0.287,7.2E-30,2.1E-25,inb-pv
SNCA,-0.518169418,0.234,0.334,7.0E-30,2.1E-25,inb-pv
ECE2,-0.652501515,0.519,0.626,6.8E-30,2.0E-25,inb-sv2c
REXO2,-0.573258132,0.252,0.353,6.3E-30,1.9E-25,L5/6-CC
COPE,-0.740109435,0.2,0.298,6.2E-30,1.8E-25,L5/6
NAP1L5,-0.602925788,0.22,0.305,6.0E-30,1.8E-25,inb-vip
PGAM1,-0.863234128,0.321,0.473,5.8E-30,1.7E-25,inb-sv2c
MPC2,-0.602722182,0.265,0.359,5.7E-30,1.7E-25,inb-pv
VPS51,-0.551277643,0.24,0.331,5.6E-30,1.7E-25,inb-pv
UBAC1,-0.514303633,0.347,0.442,5.1E-30,1.5E-25,inb-pv
ANTKMT,-1.094587026,0.175,0.314,5.0E-30,1.5E-25,inb-sv2c
SLC25A3,-0.931797802,0.366,0.501,4.7E-30,1.4E-25,inb-sv2c
TALDO1,-0.592328624,0.177,0.264,4.7E-30,1.4E-25,inb-pv
NFKBIA,-0.547990795,0.358,0.44,4.5E-30,1.3E-25,endo
UNC5C,0.743134802,0.385,0.309,4.4E-30,1.3E-25,endo
ANKRD18B,0.526643364,0.276,0.225,4.4E-30,1.3E-25,L4
MAFG,-0.537796551,0.253,0.353,4.3E-30,1.3E-25,L5/6-CC
CASKIN1,-0.508642444,0.323,0.429,4.3E-30,1.3E-25,L5/6-CC
TMEM179B,-0.739043916,0.197,0.29,4.2E-30,1.2E-25,L5/6-CC
FCHO1,-0.552037954,0.222,0.329,4.1E-30,1.2E-25,L5/6
LINC02398,0.680680808,0.427,0.344,4.1E-30,1.2E-25,L5/6-CC
TAF9,-0.642778334,0.183,0.277,4.0E-30,1.2E-25,L5/6-CC
POLE4,-0.69750107,0.161,0.253,4.0E-30,1.2E-25,L5/6-CC
HLA-A,-1.23347814,0.238,0.371,3.8E-30,1.1E-25,inb-sv2c
CALR,-1.100058386,0.281,0.42,3.6E-30,1.1E-25,inb-sv2c
PRDM5,0.518599648,0.264,0.214,3.6E-30,1.1E-25,L4
PSMD8,-0.935568286,0.212,0.356,3.5E-30,1.1E-25,inb-sv2c
SYNGR3,-0.503582163,0.289,0.384,3.4E-30,1.0E-25,inb-pv
ZNF516,0.713765515,0.319,0.234,3.4E-30,1.0E-25,L5/6-CC
TMEM219,-0.501729378,0.213,0.314,3.0E-30,8.9E-26,L5/6-CC
SQLE,-0.698938044,0.211,0.293,2.8E-30,8.3E-26,inb-vip
HDAC4,0.609126068,0.285,0.216,2.8E-30,8.2E-26,micro
IDH2,-0.581866489,0.225,0.328,2.8E-30,8.2E-26,L5/6
ERP29,-0.591506758,0.208,0.31,2.6E-30,7.8E-26,L5/6
DEGS1,-0.871702808,0.182,0.277,2.6E-30,7.7E-26,L5/6
DAGLA,-0.513466738,0.276,0.38,2.6E-30,7.7E-26,L5/6-CC
HNRNPA1,-0.518877502,0.288,0.382,2.6E-30,7.7E-26,inb-pv
COL24A1,-0.618562246,0.326,0.425,2.6E-30,7.6E-26,L5/6
PRRT3,-0.67641738,0.194,0.292,2.5E-30,7.5E-26,L5/6
COPS8,-0.628495608,0.17,0.251,2.4E-30,7.3E-26,inb-vip
B4GALNT1,-0.59884559,0.207,0.295,2.3E-30,6.9E-26,inb-pv
RHBDL1,-0.703131345,0.274,0.378,2.3E-30,6.9E-26,L5/6
SNCB,-0.501679602,0.278,0.368,2.3E-30,6.8E-26,inb-vip
COL5A3,-0.600810417,0.169,2.53E-01,2.23E-30,6.62E-26,opc
TECR,-0.50353155,0.318,0.425,2.1E-30,6.1E-26,L5/6-CC
PSMC1,-0.563565194,0.288,0.397,2.1E-30,6.1E-26,L5/6
CACYBP,-0.531981003,0.284,0.379,2.0E-30,6.1E-26,inb-pv
RPL24,-0.56924259,0.417,0.518,2.0E-30,6.0E-26,L5/6
FAHD2B,-0.641604784,0.184,0.281,2.0E-30,6.0E-26,L5/6-CC
EXOC7,-0.52591041,0.415,0.518,1.9E-30,5.7E-26,L5/6
NEUROD6,-0.538814517,0.214,0.315,1.9E-30,5.5E-26,L5/6-CC
PPP1R11,-0.64897085,0.197,0.293,1.8E-30,5.5E-26,L5/6-CC
NDUFC2,-0.945732026,0.357,0.494,1.8E-30,5.4E-26,inb-sv2c
ENOSF1,-0.539311463,0.217,3.04E-01,1.80E-30,5.34E-26,opc
UQCRQ,-0.51472629,0.173,0.259,1.7E-30,5.2E-26,inb-vip
UBA6-AS1,0.501032939,2.70E-01,2.51E-01,1.68E-30,4.99E-26,oli
AL138927.1,-0.624364122,0.171,0.265,1.7E-30,5.0E-26,L5/6-CC
ATXN2L,-0.583112201,0.304,0.396,1.7E-30,4.9E-26,inb-pv
DPH7,-0.554435427,0.244,0.339,1.6E-30,4.6E-26,inb-pv
EPHA6,0.500808625,0.732,0.613,1.6E-30,4.6E-26,inb-sv2c
MCFD2,-0.518525281,0.243,0.338,1.5E-30,4.4E-26,inb-pv
NDUFS7,-0.74145659,0.242,0.344,1.5E-30,4.4E-26,L5/6
CCT2,-0.544548433,0.239,0.324,1.5E-30,4.3E-26,inb-vip
RPL7L1,-0.50754039,0.322,0.43,1.4E-30,4.3E-26,L5/6
TMX2,-0.528020478,0.358,0.454,1.4E-30,4.3E-26,inb-pv
ACAA1,-0.56502907,0.266,0.371,1.4E-30,4.2E-26,L5/6
FAM219B,-0.683098173,0.198,0.286,1.4E-30,4.1E-26,inb-pv
NRIP3,-0.724301925,0.203,0.3,1.4E-30,4.0E-26,L5/6-CC
DMWD,-0.534649822,0.256,0.36,1.3E-30,4.0E-26,L5/6-CC
NDUFB1,-0.511489035,0.321,0.434,1.3E-30,4.0E-26,L5/6
RPS15,-0.737774514,0.439,0.583,1.3E-30,3.8E-26,inb-sv2c
ATF6B,-0.508993084,0.283,0.368,1.3E-30,3.8E-26,inb-vip
RETREG2,-0.506962312,0.339,0.451,1.2E-30,3.7E-26,L5/6
SPRYD3,-0.721746931,0.175,0.261,1.2E-30,3.6E-26,inb-pv
PRR3,-0.500230576,0.276,0.38,1.2E-30,3.5E-26,L5/6-CC
PNMA1,-0.772667852,0.201,0.28,1.1E-30,3.4E-26,inb-vip
ETFB,-0.67364964,0.167,0.262,1.1E-30,3.4E-26,L5/6-CC
AC119673.2,1.286823296,0.299,0.176,1.1E-30,3.3E-26,inb-sv2c
SAP18,-0.608098266,0.27,0.378,1.1E-30,3.2E-26,L5/6
RPLP0,-0.581149096,0.253,0.341,1.1E-30,3.2E-26,inb-vip
H3F3A,-0.566843524,0.215,3.03E-01,1.01E-30,3.00E-26,opc
C4orf48,-0.984226545,0.272,0.414,1.0E-30,3.0E-26,inb-sv2c
PHLDB2,0.681070462,0.447,0.378,9.9E-31,3.0E-26,endo
MRPL51,-0.71541641,0.166,0.263,9.8E-31,2.9E-26,L5/6
PRKG1,0.519224974,0.582,0.521,8.8E-31,2.6E-26,inb-sst
CHCHD1,-0.623117221,0.172,0.267,8.4E-31,2.5E-26,L5/6-CC
FAM85B,0.755296558,0.253,0.172,7.9E-31,2.3E-26,inb-pv
B4GALNT1,-0.56732705,0.288,0.396,7.4E-31,2.2E-26,L5/6
ACAA1,-0.527472692,0.194,0.28,7.3E-31,2.2E-26,inb-vip
RAB5C,-0.613786439,0.183,0.27,7.2E-31,2.1E-26,inb-pv
RAB40B,-0.529049165,0.319,0.43,7.0E-31,2.1E-26,L5/6
CCT3,-0.561603609,0.313,0.399,6.8E-31,2.0E-26,inb-vip
PPIA,-0.542441222,0.489,0.595,6.7E-31,2.0E-26,L5/6
GABARAPL2,-0.818279763,0.353,0.504,6.6E-31,2.0E-26,inb-sv2c
SUMO1,-0.52959948,0.317,0.416,6.4E-31,1.9E-26,inb-pv
ATP5PD,-0.665769235,0.187,0.269,6.4E-31,1.9E-26,inb-vip
ASPHD1,-0.510700652,0.322,0.435,6.3E-31,1.9E-26,L5/6
SLCO2A1,-0.590920857,0.242,0.275,6.3E-31,1.9E-26,L2/3
PARK7,-0.908781611,0.311,0.46,6.1E-31,1.8E-26,inb-sv2c
SOHLH1,-0.61363862,0.231,0.334,6.0E-31,1.8E-26,L5/6
CC2D1A,-0.527515253,0.437,0.537,5.9E-31,1.7E-26,L5/6
AC053513.1,0.556263038,0.389,0.302,5.7E-31,1.7E-26,inb-pv
SLC29A1,-0.565968658,0.197,0.295,5.5E-31,1.6E-26,L5/6-CC
INTS1,-0.53106519,0.302,0.415,5.4E-31,1.6E-26,L5/6
MLX,-0.711684247,0.171,0.263,5.4E-31,1.6E-26,L5/6-CC
DYNLT1,-0.642610303,0.208,0.308,5.4E-31,1.6E-26,L5/6
NUDC,-0.608432954,0.244,0.332,5.2E-31,1.5E-26,inb-vip
CLPTM1,-0.520096637,0.268,0.363,5.0E-31,1.5E-26,inb-pv
RPL27,-0.680593795,0.256,0.36,5.0E-31,1.5E-26,L5/6
NDUFS8,-0.516120685,0.298,0.405,4.9E-31,1.4E-26,L5/6-CC
NXPH2,-0.503045219,0.32,0.435,4.6E-31,1.4E-26,inb-sst
PPP1R35,-0.625292047,0.164,0.258,4.5E-31,1.3E-26,L5/6-CC
FSD1,-0.672615727,0.224,0.315,4.4E-31,1.3E-26,inb-pv
STUB1,-1.03911473,0.209,0.359,4.3E-31,1.3E-26,inb-sv2c
PDZD7,-0.565140922,0.199,0.302,4.3E-31,1.3E-26,L5/6
PEX5L,0.554115737,0.49,4.18E-01,4.23E-31,1.26E-26,opc
NEIL1,-0.617268472,0.179,0.261,4.2E-31,1.3E-26,inb-vip
RPP21,-0.541538515,0.209,0.311,4.1E-31,1.2E-26,L5/6-CC
COMMD6,-0.68854734,0.19,0.279,4.1E-31,1.2E-26,inb-pv
ATP5PD,-0.553205477,0.191,0.273,3.8E-31,1.1E-26,endo
MRPL27,-0.717730896,0.186,0.282,3.7E-31,1.1E-26,L5/6-CC
PCMT1,-0.511324615,0.221,3.11E-01,3.72E-31,1.10E-26,opc
GALNTL6,0.562224209,0.745,0.723,3.7E-31,1.1E-26,L5/6-CC
DPF1,-0.546753635,0.202,0.293,3.3E-31,9.9E-27,inb-pv
KCNV1,-0.566906391,0.163,0.258,3.3E-31,9.7E-27,L5/6
CCNI,-0.705847834,0.516,0.64,3.2E-31,9.6E-27,inb-sv2c
IL12A-AS1,0.755681067,0.402,0.325,3.1E-31,9.2E-27,L5/6-CC
DAGLA,-0.590911194,0.212,0.316,3.1E-31,9.2E-27,L5/6
RNF167,-0.595580683,0.173,0.269,3.1E-31,9.2E-27,L5/6-CC
POLR2C,-0.676492127,0.212,0.31,3.0E-31,8.8E-27,L5/6-CC
DHDDS,-0.513770411,0.322,0.422,2.9E-31,8.7E-27,inb-pv
MDH2,-0.802466304,0.204,0.305,2.8E-31,8.4E-27,L5/6
NME1,-0.845339164,0.177,0.273,2.8E-31,8.2E-27,L5/6
FOXO1,0.662090072,0.29,2.06E-01,2.69E-31,8.00E-27,opc
HSD11B1L,-0.7158629,0.197,0.297,2.7E-31,8.0E-27,L5/6
AL583808.1,0.809153079,0.276,0.193,2.6E-31,7.8E-27,L5/6
VSTM2L,-0.553764367,0.285,0.372,2.6E-31,7.8E-27,inb-vip
AC003991.1,-0.730204303,0.193,0.29,2.5E-31,7.4E-27,L5/6-CC
RRP7A,-0.596706383,0.214,0.316,2.4E-31,7.2E-27,L5/6-CC
BMPER,-0.699317455,0.201,2.92E-01,2.40E-31,7.15E-27,opc
TXN2,-0.558761712,0.172,0.27,2.3E-31,6.9E-27,L5/6-CC
ABCC8,0.696773339,0.29,2.04E-01,2.25E-31,6.70E-27,opc
PDGFA,-0.621666528,0.231,0.335,2.2E-31,6.5E-27,L5/6-CC
CACNG5,0.626164896,0.271,1.87E-01,2.15E-31,6.38E-27,opc
ZSCAN18,-0.506198177,0.372,0.483,2.1E-31,6.3E-27,L5/6
HID1,-0.620300753,0.251,0.354,2.0E-31,5.9E-27,L5/6-CC
CCDC47,-0.514259097,0.365,0.476,1.9E-31,5.7E-27,L5/6-CC
SEC61G,-0.701398229,0.183,0.281,1.9E-31,5.6E-27,L5/6-CC
SNHG7,-0.668307462,0.179,0.268,1.9E-31,5.6E-27,inb-pv
MRPL32,-0.6234054,0.236,0.339,1.8E-31,5.3E-27,L5/6-CC
AC093610.1,0.710360038,0.453,0.374,1.7E-31,5.1E-27,inb-pv
FBXO2,-0.599845106,0.194,0.281,1.5E-31,4.4E-27,inb-vip
COX5B,-1.003978641,0.345,0.491,1.4E-31,4.2E-27,inb-sv2c
PRKAG2-AS1,-0.785368119,0.176,0.275,1.4E-31,4.1E-27,L5/6
RPS2,-0.618642597,0.362,0.473,1.3E-31,4.0E-27,L5/6
RGS4,-0.525576921,0.246,0.338,1.3E-31,3.9E-27,inb-vip
AC010280.1,0.93231692,0.329,0.248,1.3E-31,3.9E-27,L5/6-CC
ATXN7L3B,-0.624418835,0.337,0.45,1.3E-31,3.8E-27,L5/6-CC
BNIP3,-0.520384023,0.335,0.432,1.3E-31,3.8E-27,inb-pv
CCT3,-0.578696164,0.317,0.413,1.3E-31,3.8E-27,inb-pv
IRS1,0.923169349,0.262,0.179,1.3E-31,3.7E-27,L5/6-CC
RPL14,-0.602048591,0.485,0.584,1.2E-31,3.7E-27,L5/6
EPHB6,-0.583602543,0.461,0.565,1.2E-31,3.4E-27,L5/6
FAU,-0.646300575,0.361,0.471,1.1E-31,3.4E-27,L5/6
MCFD2,-0.519039256,0.233,0.324,1.1E-31,3.2E-27,inb-vip
UQCRC1,-0.763630245,0.26,0.369,1.1E-31,3.2E-27,L5/6
LYNX1,-0.528264744,0.251,0.345,1.1E-31,3.1E-27,inb-pv
CAPNS1,-0.537562712,0.264,0.374,1.1E-31,3.1E-27,L5/6-CC
RPL6,-0.89180655,0.397,0.532,9.8E-32,2.9E-27,inb-sv2c
PPIB,-0.756062296,0.202,0.299,9.7E-32,2.9E-27,L5/6-CC
DISP1,0.500712583,0.318,0.266,9.7E-32,2.9E-27,L4
CDHR3,-0.503109228,0.539,0.613,9.6E-32,2.9E-27,L5/6
LDHB,-0.926784882,0.402,0.531,9.1E-32,2.7E-27,inb-sv2c
TRPS1,0.617884028,0.701,0.579,8.7E-32,2.6E-27,inb-sv2c
GRM2,-0.633068468,0.174,0.273,8.5E-32,2.5E-27,L5/6-CC
RPL19,-0.829869409,0.391,0.533,8.1E-32,2.4E-27,inb-sv2c
DNAJC19,-0.625227583,0.204,0.291,8.0E-32,2.4E-27,inb-vip
PLPBP,-0.579219831,0.198,0.298,7.7E-32,2.3E-27,L5/6-CC
PFKM,-0.604646463,0.212,0.298,7.5E-32,2.2E-27,inb-vip
EGFL7,-0.848919809,0.195,0.293,7.3E-32,2.2E-27,L5/6
ARPC3,-0.595270286,0.261,0.357,7.2E-32,2.1E-27,inb-pv
