query,_id,_score,symbol,notfound
Use1,67023,14.296949,Use1,
Dgat2,67800,14.741062,Dgat2,
Atp6v0d1,11972,14.938125,Atp6v0d1,
Eapp,66266,14.767451,Eapp,
Nudc,18221,13.314607,Nudc,
Nup107,103468,14.270004,Nup107,
Polr3e,26939,14.309383,Polr3e,
Taf1b,21340,14.299425,Taf1b,
Lars,269033,14.021984,Lars,
Klc4,74764,15.265992,Klc4,
Nfs1,18041,14.250754,Nfs1,
Mtrf1,211253,14.848097,Mtrf1,
Gemin5,216766,14.75331,Gemin5,
Usp8,84092,14.472927,Usp8,
Fbxl12,30843,15.33288,Fbxl12,
Imp4,27993,14.805318,Imp4,
Pmpca,66865,14.751554,Pmpca,
Trappc5,66682,14.916022,Trappc5,
Psmd2,21762,14.749799,Psmd2,
Atp6v1f,66144,14.924016,Atp6v1f,
Pafah1b1,18472,15.17778,Pafah1b1,
Nup54,269113,14.279737,Nup54,
Polr3d,67065,14.831189,Polr3d,
Osgep,66246,15.026153,Osgep,
Snrnp48,67797,14.772793,Snrnp48,
Exosc9,50911,14.75331,Exosc9,
Sbno1,243272,14.769229,Sbno1,
Zfp263,74120,21.124914,Zfp263,
Cox16,66272,16.291512,Cox16,
Pabpn1,54196,15.441635,Pabpn1,
Tpk1,29807,14.699925,Tpk1,
Huwe1,59026,14.516146,Huwe1,
Vbp1,22327,14.803489,Vbp1,
Gtf2e2,68153,14.765675,Gtf2e2,
Dhx16,69192,14.910059,Dhx16,
Mboat7,77582,15.043619,Mboat7,
Gpn3,68080,14.75331,Gpn3,
Sec11c,66286,15.386121,Sec11c,
Pim1,18712,14.796202,Pim1,
Rad9b,231724,14.818189,Rad9b,
Snw1,66354,14.763902,Snw1,
Adat2,66757,14.767451,Adat2,
Polr1a,20019,14.741062,Polr1a,
Ptprr,19279,14.849989,Ptprr,
Rnps1,19826,14.722047,Rnps1,
Cacna2d2,56808,15.316511,Cacna2d2,
Cdk5,12568,14.337164,Cdk5,
Aars2,224805,14.79984,Aars2,
Yap1,22601,14.693194,Yap1,
Psmb4,19172,14.836801,Psmb4,
Tsen54,76265,14.344845,Tsen54,
Psmb5,19173,15.037041,Psmb5,
Romo1,67067,14.794385,Romo1,
Srp14,20813,14.25554,Srp14,
Ints4,101861,14.251948,Ints4,
Cstb,13014,15.94581,Cstb,
Josd2,66124,15.030497,Josd2,
Pgam1,18648,15.377568,Pgam1,
Klhl20,226541,14.774578,Klhl20,
Nipbl,71175,15.276467,Nipbl,
Fam173b,68073,14.536239,Atpsckmt,
Ccnh,66671,14.763902,Ccnh,
Fam3a,66294,15.0860615,Fam3a,
Psmd6,66413,14.75331,Psmd6,
Plrg1,53317,14.760362,Plrg1,
Get4,67604,14.751554,Get4,
Chmp5,76959,15.209851,Chmp5,
Sacm1l,83493,15.276467,Sacm1l,
Wasf1,83767,14.767451,Wasf1,
Srrt,83701,14.985591,Srrt,
Fbxl16,214931,14.812657,Fbxl16,
Tfg,21787,14.765675,Tfg,
Psmc5,19184,14.751554,Psmc5,
Tsg101,22088,14.597752,Tsg101,
Nxf1,53319,15.438654,Nxf1,
Ipo13,230673,15.224924,Ipo13,
Zfyve21,68520,14.774578,Zfyve21,
Bcl11a,14025,15.319224,Bcl11a,
Atp6v0c,11984,15.12291,Atp6v0c,
Fam175b,109359,14.471137,Abraxas2,
Lin9,72568,14.739323,Lin9,
Snap25,20614,14.699925,Snap25,
Mvd,192156,14.651894,Mvd,
Isy1,57905,14.7428055,Isy1,
Mfn1,67414,15.229987,Mfn1,
Sncg,20618,15.224924,Sncg,
Hr,15460,18.931433,Hr,
Vps36,70160,14.223571,Vps36,
Znhit1,70103,15.002515,Znhit1,
Csrp1,13007,15.300345,Csrp1,
Nploc4,217365,14.765675,Nploc4,
Trp53bp1,27223,21.124914,Trp53bp1,
Usp39,28035,14.308134,Usp39,
Tut1,70044,14.952389,Tut1,
Polr2l,66491,14.876775,Polr2l,
Ttc1,66827,14.366857,Ttc1,
Atp5c1,11949,14.3497305,Atp5c1,
