query,_id,_score,symbol,notfound
6030458C11Rik,77877,21.385788,6030458C11Rik,
Socs5,56468,15.199899,Socs5,
Trmt2a,15547,14.75331,Trmt2a,
Chrm1,12669,15.87726,Chrm1,
Thap2,66816,16.008907,Thap2,
Tubgcp5,233276,14.75331,Tubgcp5,
Mfsd1,66868,14.725483,Mfsd1,
Sec31a,69162,14.751554,Sec31a,
Ubxn4,67812,14.792573,Ubxn4,
Dync2h1,110350,14.798019,Dync2h1,
Sntg1,71096,14.801664,Sntg1,
Ubqln4,94232,14.846208,Ubqln4,
Trim35,66854,15.471834,Trim35,
Trpm4,68667,15.873094,Trpm4,
Chm,12662,14.377348,Chm,
Dera,232449,14.300665,Dera,
Cttnbp2nl,80281,15.260789,Cttnbp2nl,
2700060E02Rik,68045,21.084198,Rtraf,
Stat2,20847,14.89429,Stat2,
Slc25a30,67554,15.341144,Slc25a30,
Tsr2,69499,14.920013,Tsr2,
Cdh11,12552,14.853782,Cdh11,
Mesdc2,67943,14.471137,Mesd,
Helq,191578,14.758595,Helq,
Tanc2,77097,15.27384,Tanc2,
Cenpc1,12617,21.385788,Cenpc1,
Arid4a,238247,14.765675,Arid4a,
Abi2,329165,15.207356,Abi2,
Dido1,23856,14.983491,Dido1,
Rnf32,56874,14.82189,Rnf32,
Rad51,57434,16.580143,Rad51,
Taco1,70207,17.008297,Taco1,
Slc18a2,214084,14.772793,Slc18a2,
Fam19a2,268354,14.409055,Tafa2,
Aldh3b1,67689,15.289679,Aldh3b1,
Dfna5,54722,14.458488,Gsdme,
Lamp1,16783,14.890377,Lamp1,
Rab3ip,216363,14.898214,Rab3ip,
Hrasls,27281,14.563194,Plaat1,
Lphn3,319387,16.183863,Lphn3,
Gadd45gip1,102060,14.973041,Gadd45gip1,
Mfsd8,72175,14.7428055,Mfsd8,
Uhmk1,16589,14.880647,Uhmk1,
Tle2,21886,15.687339,Tle2,
Smarca5,93762,14.814498,Smarca5,
Tbl2,27368,14.792573,Tbl2,
Dus4l,71916,14.9361,Dus4l,
Vezf1,22344,15.229987,Vezf1,
Pm20d2,242377,15.151249,Pm20d2,
Ergic2,67456,14.9361,Ergic2,
Zfp672,319475,21.385788,Zfp672,
Nme5,75533,14.787148,Nme5,
Cep110,26920,17.586458,Cep110,
Chic2,74277,14.857587,Chic2,
Ctu1,233189,14.472927,Ctu1,
Oplah,75475,14.863313,Oplah,
Hsph1,15505,15.202379,Hsph1,
Ggh,14590,14.825602,Ggh,
Ccdc57,71276,14.918017,Ccdc57,
Gyk,14933,18.35969,Gk,
Rnf167,70510,15.180221,Rnf167,
Inppl1,16332,15.346683,Inppl1,
Cd14,12475,15.576781,Cd14,
Eif4h,22384,14.756831,Eif4h,
Sipa1l2,244668,15.004646,Sipa1l2,
Rab11b,19326,15.321943,Rab11b,
Rab3a,19339,15.321943,Rab3a,
Mllt11,56772,14.785345,Mllt11,
Pnrc1,108767,14.918017,Pnrc1,
Gne,50798,14.774578,Gne,
Gcc2,70297,15.15364,Gcc2,
Grm1,14816,15.321943,Grm1,
Vamp3,22319,14.808982,Vamp3,
Acss2,60525,14.796202,Acss2,
Fem1a,14154,14.934078,Fem1a,
Eef1d,66656,15.388985,Eef1d,
Smarcb1,20587,15.199899,Smarcb1,
Unc93b1,54445,14.82189,Unc93b1,
Phpt1,75454,14.734116,Phpt1,
Itgb1,16412,15.194951,Itgb1,
Stam,20844,14.420173,Stam,
Mpnd,19175,18.48137,Mpnd,
Sgip1,73094,15.139367,Sgip1,
Emx2,13797,14.812657,Emx2,
Crhr1,12921,15.000388,Crhr1,
Rps26,27370,14.379982,Rps26,
Lhx2,16870,15.32467,Lhx2,
Nop58,55989,14.6341305,Nop58,
Th,21829,17.193527,Th,
Nr6a1,14536,15.2224,Nr6a1,
Dusp26,66959,15.182663,Dusp26,
Trim9,94090,14.315645,Trim9,
Txnl4b,234723,14.756831,Txnl4b,
Ncald,52589,15.308403,Ncald,
Tmem150c,231503,14.842437,Tmem150c,
1110012L19Rik,68618,21.084198,Eola1,
Mn1,433938,15.369071,Mn1,
E2f3,13557,14.774578,E2f3,
Hap1,11792,18.35969,Hap1,
Fuk,234730,14.211996,Fcsk,
1810055G02Rik,72056,21.124914,1810055G02Rik,
Pten,19211,14.674861,Pten,
Pskh1,244631,14.79984,Pskh1,
Ncbp1,433702,15.151249,Ncbp1,
Pfn1,18643,15.297668,Pfn1,
Slbp,20492,14.381303,Slbp,
Evi5,14020,14.658414,Evi5,
Map3k1,26401,15.063549,Map3k1,
Lin7a,108030,14.785345,Lin7a,
Bmpr1b,12167,15.2224,Bmpr1b,
Akap10,56697,14.776367,Akap10,
Fam122a,68034,14.974345,Pabir1,
Cntln,338349,14.812657,Cntln,
Hint3,66847,14.772793,Hint3,
Zbtb8b,215627,14.823745,Zbtb8b,
Dolk,227697,14.289544,Dolk,
Qsox2,227638,14.785345,Qsox2,
Fam133b,68152,14.803489,Fam133b,
Map3k2,26405,14.794385,Map3k2,
Col4a5,12830,14.831189,Col4a5,
Scyl3,240880,14.758595,Scyl3,
Dpm2,13481,14.562366,Dpm2,
Bmp1,12153,15.391854,Bmp1,
Bex1,12069,18.24816,Bex1,
Bap1,14924,17.243074,Bap1,
Grm7,108073,14.767451,Grm7,
Lrch2,210297,14.792573,Lrch2,
Wsb1,78889,14.796202,Wsb1,
Zfp248,72720,21.124914,Zfp248,
Tyrobp,22177,15.242732,Tyrobp,
Snrpc,20630,14.760362,Snrpc,
Arcn1,213827,15.197422,Arcn1,
Rsbn1l,242860,15.242732,Rsbn1l,
Slc35e1,270066,14.774578,Slc35e1,
Ppip5k2,227399,15.056872,Ppip5k2,
Ank,11732,19.352617,Ank,
Tm4sf5,75604,15.139367,Tm4sf5,
Zdhhc22,238331,14.783545,Zdhhc22,
Plcb3,18797,15.127591,Plcb3,
Klhl35,72184,15.311101,Klhl35,
Thra,21833,14.409331,Thra,
Pkd2l2,53871,15.465738,Pkd2l2,
Cox10,70383,14.704997,Cox10,
Acot11,329910,15.258193,Acot11,
Snrnp70,20637,15.03923,Snrnp70,
Bcl2l2,12050,17.248306,Bcl2l2,
Taf11,68776,14.278517,Taf11,
Stt3a,16430,14.248366,Stt3a,
Itga6,16403,15.194951,Itga6,
Cdk9,107951,14.308134,Cdk9,
Ext1,14042,15.276467,Ext1,
Noc4l,100608,14.772793,Noc4l,
Tomm7,66169,14.842437,Tomm7,
Pak2,224105,15.311101,Pak2,
Appbp2,66884,14.790761,Appbp2,
Nudt1,17766,14.769229,Nudt1,
Pcgf5,76073,15.247865,Pcgf5,
Zfp282,101095,21.124914,Zfp282,
Ing5,66262,14.651894,Ing5,
Elmod2,244548,14.77101,Elmod2,
Cnih3,72978,14.848097,Cnih3,
Zfp27,22689,21.124914,Zfp27,
1700084C01Rik,78465,21.084198,Ccdc190,
Susd2,71733,14.863313,Susd2,
Camk4,12326,15.079266,Camk4,
Trim11,94091,16.235346,Trim11,
2210408I21Rik,72371,22.149912,2210408I21Rik,
Lgals9,16859,16.229862,Lgals9,
Sap130,101943,15.756864,Sap130,
1810022K09Rik,69126,21.084198,Rbis,
Vkorc1,27973,15.15364,Vkorc1,
Nppc,18159,14.872914,Nppc,
Svop,68666,15.265992,Svop,
Itch,16396,15.265992,Itch,
Serpina3f,238393,22.813986,Serpina3f,
Axin1,12005,14.781747,Axin1,
Mib1,225164,14.283406,Mib1,
Stk25,59041,15.305711,Stk25,
Ngfr,18053,15.3274,Ngfr,
Zfp239,22685,20.721714,Zfp239,
Plekho1,67220,15.297668,Plekho1,
Phf13,230936,14.767451,Phf13,
Mprip,26936,14.890377,Mprip,
Kank3,80880,14.946258,Kank3,
Topbp1,235559,14.751554,Topbp1,
Numb,18222,14.277298,Numb,
Nf2,18016,15.292336,Nf2,
Ranbp17,66011,15.550551,Ranbp17,
Erc2,238988,14.7289295,Erc2,
Cybrd1,73649,16.572306,Cybrd1,
Scyl2,213326,14.75331,Scyl2,
Gpc3,14734,14.810819,Gpc3,
Csde1,229663,14.755068,Csde1,
4933411K20Rik,66756,21.084198,4933411K20Rik,
Bmf,171543,15.199899,Bmf,
Mtfmt,69606,14.794385,Mtfmt,
2610018G03Rik,70415,21.084198,Stk26,
Tmem59,56374,14.772793,Tmem59,
Cdkn2aip,70925,14.904122,Cdkn2aip,
Ahsa1,217737,15.102055,Ahsa1,
Rwdd3,66568,14.861402,Rwdd3,
Slc7a6,330836,14.820039,Slc7a6,
Zc3h3,223642,14.343561,Zc3h3,
Neurl4,216860,14.42836,Neurl4,
Gtf3c4,269252,14.796202,Gtf3c4,
Tcp11,71841,17.876802,Tcp11,
Pip5k1b,18719,15.311101,Pip5k1b,
Nub1,18150,17.586458,Nub1,
Tkt,21881,13.148923,Tkt,
Bbx,70508,14.576099,Bbx,
Gas2l1,78926,14.861402,Gas2l1,
Caskin2,140721,15.156033,Caskin2,
Mier1,71148,15.23762,Mier1,
Golga7,57437,14.861402,Golga7,
Map3k14,53859,15.3274,Map3k14,
Cables2,252966,15.297668,Cables2,
Dicer1,192119,14.756831,Dicer1,
Fcer1g,14127,15.037041,Fcer1g,
Mterfd2,69821,15.878546,Mterf4,
Itpka,228550,14.825602,Itpka,
Mfap1b,100034361,22.813986,Mfap1b,
Cars2,71941,14.772793,Cars2,
Col24a1,71355,15.217366,Col24a1,
Rtn4,68585,15.289679,Rtn4,
Lsm10,116748,14.55028,Lsm10,
Bbs4,102774,14.319416,Bbs4,
Alg3,19165,17.798098,Alg3,
Creb3l2,208647,14.79984,Creb3l2,
Map3k3,26406,14.792573,Map3k3,
Bcl9l,80288,14.774578,Bcl9l,
Stap2,106766,15.662338,Stap2,
Xpr1,19775,15.229987,Xpr1,
Arhgap36,75404,15.004646,Arhgap36,
Exosc10,50912,14.748047,Exosc10,
Iscu,66383,13.901938,Iscu,
Ccdc74a,72315,20.166035,Ccdc74a,
Scn1a,20265,16.763826,Scn1a,
Egln3,112407,14.872914,Egln3,
Tnrc6b,213988,15.192484,Tnrc6b,
Tac2,21334,21.712498,Tac2,
Ptpdc1,218232,15.303024,Ptpdc1,
Cops2,12848,14.734116,Cops2,
Nme4,56520,15.017509,Nme4,
Col4a3bp,68018,14.135687,Cert1,
Smc2,14211,14.229431,Smc2,
Plk1s1,228730,16.095396,Kiz,
Prss12,19142,14.785345,Prss12,
Timm50,66525,14.924016,Timm50,
Egln2,112406,15.175347,Egln2,
Il4ra,16190,21.385788,Il4ra,
Pms2,18861,14.273645,Pms2,
Nova2,384569,15.300345,Nova2,
Lipe,16890,15.547309,Lipe,
Zbtb10,229055,14.737585,Zbtb10,
Rer1,67830,14.66005,Rer1,
Yme1l1,27377,15.207356,Yme1l1,
Ostc,239790,18.35969,Ostc,
P2rx4,18438,15.366252,P2rx4,
Evc,59056,15.253019,Evc,
Ankrd50,99696,14.803489,Ankrd50,
Selk,80795,17.055033,Selenok,
Nek4,23955,14.756831,Nek4,
Aqp4,11829,14.77101,Aqp4,
C030046E11Rik,226089,21.084198,Ric1,
Pld3,18807,14.851885,Pld3,
Ssb,20823,13.584292,Ssb,
Sirt5,68346,14.803489,Sirt5,
Rab3il1,74760,14.810819,Rab3il1,
Wrnip1,78903,14.749799,Wrnip1,
Sgms1,208449,15.23762,Sgms1,
Plcxd2,433022,14.801664,Plcxd2,
Pbx1,18514,15.377568,Pbx1,
Egr3,13655,14.818189,Egr3,
Isca2,74316,14.708389,Isca2,
Art3,109979,15.113599,Art3,
Fdxr,14149,14.751554,Fdxr,
Arrdc2,70807,14.853782,Arrdc2,
Acbd3,170760,14.737585,Acbd3,
Skap2,54353,14.744551,Skap2,
Cap2,20725,17.586458,Cap2,
Pigq,14755,14.77995,Pigq,
Ecel1,13599,15.207356,Ecel1,
Alg10b,380959,19.620222,Alg10b,
Kdm5b,75605,15.289679,Kdm5b,
Adam11,11488,14.825602,Adam11,
Acsl1,14081,15.281735,Acsl1,
Pwp2,110816,15.242732,Pwp2,
Ngfrap1,12070,17.960428,Bex3,
Chst8,68947,15.065784,Chst8,
Nes,18008,14.42836,Nes,
Fancb,237211,14.778158,Fancb,
Ttc14,67120,14.794385,Ttc14,
Ssbp3,72475,15.284377,Ssbp3,
Cflar,12633,15.229987,Cflar,
Tyw3,209584,14.778158,Tyw3,
Usp3,235441,14.737585,Usp3,
Ddx3x,13205,15.391854,Ddx3x,
Tcta,102791,14.888425,Tcta,
Atp5d,66043,14.490336,Atp5d,
F8a,14070,16.374456,F8a,
Ywhah,22629,15.137002,Ywhah,
Sh3pxd2b,268396,14.756831,Sh3pxd2b,
Taf1d,75316,15.297668,Taf1d,
Oprl1,18389,14.778158,Oprl1,
Prkx,19108,14.863313,Prkx,
Fam163b,109349,15.295001,Fam163b,
Nlgn3,245537,15.33288,Nlgn3,
Dhrs11,192970,15.2224,Dhrs11,
Cpsf3l,71957,14.509815,Ints11,
Suox,211389,14.836801,Suox,
Arhgap23,58996,15.363438,Arhgap23,
Tiparp,99929,14.886476,Tiparp,
Pdgfa,18590,15.224924,Pdgfa,
Rpp30,54364,14.294475,Rpp30,
Slc16a10,72472,14.756831,Slc16a10,
Extl1,56219,15.462701,Extl1,
Pecam1,18613,15.23507,Pecam1,
Fkrp,243853,14.934078,Fkrp,
Prpf19,28000,14.794385,Prpf19,
Bbs9,319845,14.325727,Bbs9,
Tgfb3,21809,14.803489,Tgfb3,
Gramd4,223752,15.2452965,Gramd4,
Resp18,19711,16.456522,Resp18,
Lyplal1,226791,14.934078,Lyplal1,
Syne2,319565,15.369071,Syne2,
Dnajc4,57431,15.06802,Dnajc4,
Man2b2,17160,15.019665,Man2b2,
Zfyve28,231125,14.805318,Zfyve28,
Gpr3,14748,14.848097,Gpr3,
Pmepa1,65112,14.857587,Pmepa1,
Col15a1,12819,15.590097,Col15a1,
Eif3a,13669,14.56085,Eif3a,
Prickle2,243548,15.305711,Prickle2,
Jak3,16453,14.934078,Jak3,
Ccdc93,70829,14.744551,Ccdc93,
Tmem17,103765,14.846208,Tmem17,
Wtip,101543,14.942185,Wtip,
Pja2,224938,15.127591,Pja2,
Gps2,56310,15.048021,Gps2,
Rnaseh1,19819,14.818189,Rnaseh1,
Klhl36,234796,14.807149,Klhl36,
Cenpa,12615,15.658807,Cenpa,
Fgd6,13998,14.82189,Fgd6,
Aff1,17355,14.926023,Aff1,
Gal,14594,17.403778,Gal,
Vax1,22326,14.776367,Vax1,
Mfng,17305,14.926023,Mfng,
Pnp2,667034,22.149912,Pnp2,
Bcl2l11,12125,15.011063,Bcl2l11,
Aatk,11302,15.330138,Aatk,
Eif3e,16341,14.599313,Eif3e,
Etaa1,68145,15.232527,Etaa1,
Mbd1,17190,15.788542,Mbd1,
Sgcb,24051,14.723763,Sgcb,
Plod3,26433,15.163241,Plod3,
Wdr78,242584,13.900498,Dnai4,
Rfc5,72151,14.661687,Rfc5,
Gusb,110006,14.790761,Gusb,
Hat1,107435,14.195799,Hat1,
Zbtb7c,207259,15.151249,Zbtb7c,
Zfp110,65020,21.385788,Zfp110,
Ppm1f,68606,14.801664,Ppm1f,
Ptrf,19285,14.61879,Cavin1,
Ctbp1,13016,14.892332,Ctbp1,
H3f3b,15081,18.62944,H3f3b,
Arl6ip1,54208,14.362946,Arl6ip1,
Nol8,70930,14.673205,Nol8,
Cdkn1c,12577,15.570174,Cdkn1c,
Palmd,114301,15.227454,Palmd,
Hes1,15205,15.300345,Hes1,
Fbn2,14119,15.371898,Fbn2,
Lrp4,53419,17.193527,Lrp4,
Gm3448,100041639,21.084198,Gm3448,
Iqcc,230767,14.89429,Iqcc,
Zmym3,56364,15.297668,Zmym3,
Dffa,13347,14.787148,Dffa,
Tomm40,53333,15.137002,Tomm40,
Slc35a4,67843,14.916022,Slc35a4,
Slc7a10,53896,15.311101,Slc7a10,
Lsm14b,241846,14.778158,Lsm14b,
6430573F11Rik,319582,21.084198,Trmt9b,
Tmem53,68777,14.767451,Tmem53,
Spag6,50525,18.145218,Spag6,
Pabpc4,230721,14.774578,Pabpc4,
Mark3,17169,15.260789,Mark3,
Steap2,74051,14.910059,Steap2,
Tbkbp1,73174,14.863313,Tbkbp1,
Fam150b,100294583,14.669407,Alkal2,
Il18bp,16068,15.5636,Il18bp,
Ggnbp1,70772,19.479548,Ggnbp1,
Spats1,71020,15.765362,Spats1,
Foxn3,71375,15.070263,Foxn3,
Pfdn2,18637,14.401263,Pfdn2,
Homer3,26558,15.287025,Homer3,
Gpcpd1,74182,14.767451,Gpcpd1,
Tspyl5,239364,16.186792,Tspyl5,
Mesp2,17293,16.160583,Mesp2,
Hyal2,15587,15.380411,Hyal2,
Ick,56542,14.0919075,Ick,
Mycbp,56309,14.940153,Mycbp,
Mrpl15,27395,14.222402,Mrpl15,
Per3,18628,14.942185,Per3,
Rbx1,56438,14.734116,Rbx1,
Ubqln2,54609,16.202778,Ubqln2,
Luzp2,233271,14.838676,Luzp2,
Prkag1,19082,14.968885,Prkag1,
Kirrel3,67703,15.227454,Kirrel3,
Sdhd,66925,13.73826,Sdhd,
Mccc2,78038,14.245985,Mccc2,
Npdc1,18146,15.32467,Npdc1,
Zcchc18,66995,16.558136,Zcchc18,
3110057O12Rik,269423,21.084198,Abhd18,
Fis1,110188,17.723768,Fis1,
Tmed3,66111,15.077009,Tmed3,
Cnpy4,66455,15.240174,Cnpy4,
Ogt,108155,14.834928,Ogt,
Park2,50873,14.714373,Prkn,
Uros,22276,14.829325,Uros,
Zfp28,22690,16.7556,Zfp28,
Csnk2b,13001,14.874843,Csnk2b,
Nab1,17936,15.258193,Nab1,
Ubp1,22221,14.776367,Ubp1,
Flrt1,396184,15.634342,Flrt1,
Slc6a13,14412,15.212351,Slc6a13,
Caln1,140904,14.89429,Caln1,
Brf2,12193,18.145218,Brf2,
Lrrc20,216011,14.77995,Lrrc20,
Klhl1,93688,15.474893,Klhl1,
Mterfd3,74238,15.89687,Mterf2,
Fam49b,223601,14.186072,Fam49b,
Mest,17294,14.794385,Mest,
Moxd1,59012,15.056872,Moxd1,
Syt3,20981,15.045816,Syt3,
Rimklb,108653,15.335629,Rimklb,
Nid2,18074,15.268604,Nid2,
Rab7,19349,15.738831,Rab7,
Sdc2,15529,14.776367,Sdc2,
Diap2,54004,19.122843,Diaph2,
Azi2,242669,18.35969,Azi2,
Stambp,70527,15.240174,Stambp,
Bcl2l12,75736,15.146484,Bcl2l12,
Stim2,116873,15.247865,Stim2,
Ndufa10,67273,14.808982,Ndufa10,
Slc5a7,63993,15.227454,Slc5a7,
Nt5c2,76952,15.316511,Nt5c2,
Utp18,217109,14.758595,Utp18,
Nanos2,378430,15.34391,Nanos2,
Nif3l1,65102,14.781747,Nif3l1,
Chtf8,214987,14.853782,Chtf8,
Vgll4,232334,15.303024,Vgll4,
Nktr,18087,14.763902,Nktr,
Tpm4,326618,15.369071,Tpm4,
Sec14l2,67815,15.397614,Sec14l2,
Arhgap4,171207,15.840231,Arhgap4,
Kpna4,16649,14.735849,Kpna4,
Txndc11,106200,14.781747,Txndc11,
Zmiz2,52915,14.884529,Zmiz2,
Acsf2,264895,14.359045,Acsf2,
Wbp11,60321,14.849989,Wbp11,
Nell1,338352,15.197422,Nell1,
Serpine1,18787,15.065784,Serpine1,
Lancl1,14768,14.787148,Lancl1,
N4bp2,333789,14.774578,N4bp2,
Atg16l2,73683,15.680146,Atg16l2,
Ell2,192657,14.861402,Ell2,
Spry1,24063,14.823745,Spry1,
Tsc22d1,21807,15.115923,Tsc22d1,
Rpl21,19933,13.473952,Rpl21,
Ralb,64143,15.281735,Ralb,
Ube2l3,22195,15.380411,Ube2l3,
Commd8,27784,14.77101,Commd8,
Rpa3,68240,14.56085,Rpa3,
Chrdl1,83453,15.319224,Chrdl1,
Ddx31,227674,14.730656,Ddx31,
Rab33b,19338,15.281735,Rab33b,
Prdm2,110593,15.289679,Prdm2,
Slc38a3,76257,15.415044,Slc38a3,
Zfp827,622675,21.124914,Zfp827,
Snrnp25,78372,14.848097,Snrnp25,
Acaca,107476,14.790761,Acaca,
Mov10,17454,15.148865,Mov10,
Npepps,19155,14.814498,Npepps,
Hopx,74318,14.825602,Hopx,
Foxp1,108655,15.265992,Foxp1,
2410015M20Rik,224904,21.084198,Micos13,
Syn1,20964,14.563886,Syn1,
Cdc16,69957,14.196944,Cdc16,
Akap8l,54194,14.96061,Akap8l,
Kidins220,77480,15.260789,Kidins220,
2810403A07Rik,74200,21.084198,Khdc4,
Eif3h,68135,14.530875,Eif3h,
Rps13,68052,13.138221,Rps13,
Elac1,114615,14.838676,Elac1,
Morn2,378462,14.942185,Morn2,
Map4k2,26412,15.194951,Map4k2,
Agap2,216439,14.904122,Agap2,
Prkd1,18760,14.781747,Prkd1,
Fars2,69955,14.798019,Fars2,
Lrp11,237253,14.774578,Lrp11,
Tram1l1,229801,16.32053,Tram1l1,
Akap1,11640,15.311101,Akap1,
Sc4mol,66234,17.876802,Msmo1,
Csk,12988,14.535328,Csk,
Sox2,20674,14.790761,Sox2,
Fblim1,74202,14.82189,Fblim1,
Rfx4,71137,14.760362,Rfx4,
Gigyf2,227331,14.788954,Gigyf2,
Amt,434437,14.241234,Amt,
Sdk2,237979,15.271219,Sdk2,
Nadk,192185,14.653522,Nadk,
Mdm1,17245,14.776367,Mdm1,
Rnf150,330812,15.284377,Rnf150,
Gnaq,14682,16.374456,Gnaq,
Fasn,14104,14.796202,Fasn,
Spdya,70891,14.77995,Spdya,
Trabd,67976,14.755068,Trabd,
Nudt10,102954,19.352617,Nudt10,
Wscd2,320916,14.772793,Wscd2,
Adamts3,330119,14.790761,Adamts3,
Brwd1,93871,14.844321,Brwd1,
Slc29a3,71279,14.765675,Slc29a3,
Efr3b,668212,15.313804,Efr3b,
Nav2,20272,15.86047,Nav2,
Trappc6b,78232,14.857587,Trappc6b,
Manba,110173,14.758595,Manba,
Lefty2,320202,18.349796,Lefty2,
Mgat1,68393,16.074162,Mgat1,
Ube2j1,56228,14.737585,Ube2j1,
Skp1a,21402,17.586458,Skp1,
Cks1b,54124,14.9482975,Cks1b,
Psip1,101739,15.281735,Psip1,
Rit2,19762,15.651769,Rit2,
Col6a2,12834,14.787148,Col6a2,
Igsf3,78908,14.855682,Igsf3,
Vwa5b2,328643,14.812657,Vwa5b2,
Cdk7,12572,14.280959,Cdk7,
Lrpprc,72416,14.778158,Lrpprc,
Csmd1,94109,15.279097,Csmd1,
Pelo,105083,14.324463,Pelo,
BC024139,271278,21.124914,BC024139,
Cabin1,104248,14.812657,Cabin1,
Ddr1,12305,15.072507,Ddr1,
Naa35,78689,14.2932415,Naa35,
Lhx1,16869,15.3274,Lhx1,
Nrarp,67122,15.462701,Nrarp,
Plekhj1,78670,14.787148,Plekhj1,
Prpf4b,19134,18.856102,Prpf4b,
Sh3pxd2a,14218,15.180221,Sh3pxd2a,
Aagab,66939,14.75331,Aagab,
Nthl1,18207,14.27243,Nthl1,
Asxl2,75302,14.79984,Asxl2,
Exosc4,109075,14.910059,Exosc4,
Lrig3,320398,14.805318,Lrig3,
Ripk1,19766,15.281735,Ripk1,
Shc3,20418,14.798019,Shc3,
E2f1,13555,14.505931,E2f1,
Ccdc126,57895,14.812657,Ccdc126,
Fzd1,14362,14.836801,Fzd1,
Abhd13,68904,14.788954,Abhd13,
9430023L20Rik,68118,21.084198,Atg101,
Rnft1,76892,14.778158,Rnft1,
Rnf26,213211,14.785345,Rnf26,
Lrrn2,16980,14.942185,Lrrn2,
Mkl1,223701,14.458488,Mrtfa,
Agpat1,55979,14.938125,Agpat1,
Eif4g1,208643,14.991911,Eif4g1,
Rnf115,67845,15.33288,Rnf115,
Lrrc56,70552,14.792573,Lrrc56,
Slc8a1,20541,15.284377,Slc8a1,
Syt1,20979,14.994026,Syt1,
B4galnt4,330671,15.366252,B4galnt4,
Ldoc1l,223732,15.5566225,Rtl6,
Mlycd,56690,14.803489,Mlycd,
Dnajc8,68598,14.778158,Dnajc8,
Zfp503,218820,20.721714,Zfp503,
Gsx1,14842,14.872914,Gsx1,
Nap1l3,54561,16.308846,Nap1l3,
Scarf2,494124,18.48137,Scarf2,
Rxrb,20182,15.716513,Rxrb,
Timp2,21858,15.3274,Timp2,
Hey2,15214,14.890377,Hey2,
Eif5b,226982,14.279737,Eif5b,
Chrna3,110834,14.851885,Chrna3,
Stac3,237611,14.842437,Stac3,
Ythdf1,228994,14.82189,Ythdf1,
Rgl1,19731,14.805318,Rgl1,
Samd5,320825,15.512171,Samd5,
Setd5,72895,14.776367,Setd5,
Krt80,74127,15.712831,Krt80,
Atg16l1,77040,14.788954,Atg16l1,
Trim68,101700,16.326412,Trim68,
Il17c,234836,14.908077,Il17c,
Plekhb2,226971,14.849989,Plekhb2,
Usp2,53376,15.050228,Usp2,
Dyrk4,101320,14.749799,Dyrk4,
Epc2,227867,14.942185,Epc2,
Kcnk3,16527,15.397614,Kcnk3,
Uevld,54122,14.833056,Uevld,
Hiat1,15247,16.38056,Mfsd14a,
Prim2,19076,14.491479,Prim2,
Serpine2,20720,14.787148,Serpine2,
Slc17a7,72961,15.573475,Slc17a7,
Maea,59003,14.710089,Maea,
Sh3yl1,24057,14.751554,Sh3yl1,
Atpaf1,230649,14.756831,Atpaf1,
Adcyap1,11516,15.355033,Adcyap1,
Pak1,320795,17.294525,Pak1,
Slc11a2,18174,15.1346445,Slc11a2,
Thoc2,331401,14.734116,Thoc2,
Rhobtb2,246710,15.199899,Rhobtb2,
Cd59a,12509,17.069483,Cd59a,
Rpl5,100503670,13.106634,Rpl5,
Cpeb3,208922,14.763902,Cpeb3,
Arl2bp,107566,14.787148,Arl2bp,
Dzip1,66573,14.38792,Dzip1,
Zfand1,66361,14.730656,Zfand1,
Clstn3,232370,14.82189,Clstn3,
Dnaja4,58233,15.253019,Dnaja4,
Ubxn8,108159,15.672994,Ubxn8,
Sos2,20663,14.758595,Sos2,
Emp1,13730,14.796202,Emp1,
Morf4l2,56397,16.229862,Morf4l2,
Nradd,67169,16.19743,Nradd,
Rif1,27356,17.798098,Rif1,
Peli2,93834,14.836801,Peli2,
Slc29a4,243328,15.258193,Slc29a4,
Psma6,26443,15.185111,Psma6,
Ppp1r16b,228852,14.833056,Ppp1r16b,
Atp5h,71679,14.355546,Atp5h,
Cct8,12469,14.166368,Cct8,
Map3k7,26409,14.756831,Map3k7,
Wdr3,269470,14.739323,Wdr3,
Cycs,13063,17.374008,Cycs,
Zfyve20,78287,15.807665,Rbsn,
C530008M17Rik,320827,21.084198,Cracd,
Reep6,70335,14.920013,Reep6,
Ripply2,382089,15.10897,Ripply2,
Nfatc2,18019,15.303024,Nfatc2,
Sms,20603,14.337164,Sms,
Rgs3,50780,15.417972,Rgs3,
Zbtb43,71834,15.125248,Zbtb43,
Rai2,24004,15.207356,Rai2,
Mex3d,237400,15.303024,Mex3d,
Pgbd1,319207,16.392939,Pgbd1,
Cdh10,320873,15.9546385,Cdh10,
Mblac1,330216,14.904122,Mblac1,
Sh3gl1,20405,15.287025,Sh3gl1,
M6pr,16002,17.876802,M6pr,
Cog7,233824,14.266373,Cog7,
Cyp26b1,232174,16.62315,Cyp26b1,
Folh1,53320,17.374008,Folh1,
Otub1,107260,15.462701,Otub1,
C130074G19Rik,226777,21.712498,C130074G19Rik,
Parvg,64099,14.814498,Parvg,
Acaa1a,113868,21.124914,Acaa1a,
Utp14a,72554,15.45967,Utp14a,
Fgfrl1,116701,15.242732,Fgfrl1,
Ntn3,18209,15.4356785,Ntn3,
Tnip1,57783,14.774578,Tnip1,
Bcl2l1,12048,14.833056,Bcl2l1,
Zfand2a,100494,14.82189,Zfand2a,
Cort,12854,15.409207,Cort,
Lamp3,239739,15.102055,Lamp3,
Rnf144b,218215,14.842437,Rnf144b,
Katnal2,71206,14.732386,Katnal2,
