sgRNA,counts
Pcnxl3_+_5688972.23-P1P2,1183
Usp49_+_47611661.23-P1P2,1183
Map3k11_+_5688972.23-P2,1183
Cxx1a_-_53643786.23-P1,1182
Cxx1b_-_53643786.23-P1,1182
Rbm12_+_156111898.23-P1P2,1181
Cpne1_+_156111898.23-P1P2,1181
Zbtb6_-_37443087.23-P2,1180
Zbtb26_-_37443087.23-P1P2,1180
Ppp2r5d_+_46704914.23-P1P2,1179
Rbm12_-_156111730.23-P1P2,1178
Dph1_+_75190428.23-P1P2,1178
Ovca2_+_75190428.23-P1,1178
Cpne1_-_156111730.23-P1P2,1178
Trim17_-_58954935.23-P1P2,1176
Hist3h2a_-_58954935.23-P1P2,1176
B3gntl1_+_121673072.23-P1P2,1170
Ptprt_+_162661002.23-P1P2,1167
2700097O09Rik_+_55080246.23-P1P2,1165
Srp54a_+_55080246.23-P1P2,1165
Col23a1_-_51290016.23-P1P2,1164
Bfar_+_13672008.23-P1P2,1158
3110001I22Rik_+_13672008.23-P1P2,1158
Cpne1_-_156111733.23-P1P2,1157
Rbm12_-_156111733.23-P1P2,1157
Samd4b_+_28598098.23-P1P2,1156
Slc6a9_+_117835514.23-P1P2,1156
Pak4_+_28598098.23-P1P2,1156
Usp49_+_47611658.23-P1P2,1153
Med20_+_47611658.23-P1P2,1153
0610010K14Rik_-_70239787.23-P1,1150
Rnasek_-_70239787.23-P1P2,1150
Cir1_+_73312634.23-P1P2,1149
Scrn3_+_73312634.23-P1P2,1149
Slc17a8_+_89621192.23-P1P2,1148
Mamdc4_+_25574634.23-P2,1147
Phpt1_+_25574634.23-P1P2,1147
Acss2_-_155518078.23-P1P2,1147
Ggt7_-_155518078.23-P2,1147
Cxx1b_-_53670359.23-P2,1145
Cxx1a_-_53670359.23-P2,1145
2010111I01Rik_+_63015202.23-ENSMUST00000021911.8,1143
2010111I01Rik_+_63015202.23-ENSMUST00000091560.4,1143
Il4i1_-_44816432.23-P1P2,1141
Nup62_-_44816432.23-P1P2,1141
Mreg_+_72212029.23-P1P2,1138
Zfp566_+_30090428.23-P1P2,1137
Zfp82_+_30090428.23-P1P2,1137
Trim17_-_58954733.23-P1P2,1133
Hist3h2a_-_58954733.23-P1P2,1133
Gm9897_-_4192422.23-P1P2,1128
"Mterf_+_3893869.23-ENSMUST00000044746.4,ENSMUST00000117463.1",1128
Ube2o_+_116581406.23-P1P2,1122
Parp1_-_180568997.23-P1P2,1120
Tmsb15b2_-_136976656.23-P1P2,1118
Tmsb15b1_-_136976656.23-P1P2,1118
Nanp_-_151039160.23-P1P2,1117
Ninl_-_151039160.23-P1,1117
Sh3bp2_-_34525886.23-P1,1116
Tssk6_-_69902368.23-P1P2,1110
Ndufa13_-_69902368.23-P1P2,1110
Ints4_+_97481075.23-P1P2,1108
Slc25a32_-_39112652.23-P1P2,1105
Col4a1_+_11312706.23-P1P2,1105
Cpeb3_+_37207428.23-P1,1105
Rrp1_+_78412988.23-P1P2,1105
Jmjd7_+_120033839.23-P2,1104
Pla2g4b_+_120033839.23-P2,1104
Ndufaf4_+_24898400.23-P1P2,1101
